Pays;1990 (r);2000 (r);2015 Total;2015 energie;2015 agriculture;2015 process. Industriels
Allemagne ;1 263;1 062;926;762;67;62
Autriche;80;82;81;53;7;17
Belgique;149;154;122;86;10;20
Bulgarie;104;60;62;46;6;6
Chypre;6;9;9;6;1;1
Croatie;32;25;24;17;3;3
Danemark;72;73;51;34;10;2
Espagne;293;396;350;255;36;31
Estonie;41;17;18;16;1;1
Finlande;72;71;58;41;6;6
France;556;566;475;317;78;45
Grece;106;129;99;71;8;12
Hongrie;94;74;62;43;7;7
Irlande;57;71;62;37;19;3
Italie;524;561;443;354;30;30
Lettonie;26;10;12;7;3;1
Lituanie;48;20;20;11;5;3
Luxembourg;13;11;12;9;1;1
Malte;3;3;3;2;0;0
Pays-Bas;226;230;207;161;19;11
Pologne;469;391;388;316;30;29
Portugal;61;85;72;48;7;8
Rep. tcheque;198;150;129;98;8;15
Roumanie;247;141;118;80;19;12
Royaume-Uni;809;740;537;407;45;33
Slovaquie;75;50;41;27;3;9
Slovenie;19;19;17;13;2;1
Suede;73;71;56;39;7;6
UE;5 716;5 271;4 452;3 358;437;374